age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
25,Private,855699422,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-82343645,-706405792,39,Nicaragua
27,Private,126453681,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-442965284,-494983730,41,Nicaragua
28,Private,664379987,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-590811675,-593612515,38,Nicaragua
28,Private,321350092,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-833026312,-665708045,36,Nicaragua
25,Private,90227978,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-228444035,-277639541,40,Nicaragua
26,Private,717114519,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-838727479,-99376937,39,Nicaragua
28,Private,152479895,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-502667635,-303678557,39,Nicaragua
26,Private,166379135,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-618977021,-761233368,38,Nicaragua
27,Private,630355776,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-392800774,-638186835,42,Nicaragua
25,Private,342720903,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-881993555,-38100860,38,Nicaragua
28,Private,495165606,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-300289646,-542581812,37,Nicaragua
28,Private,969182479,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-736473927,-221247901,37,Nicaragua
27,Private,789048327,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-550636430,-263079271,37,Nicaragua
25,Private,96569824,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-552974223,-97396219,36,Nicaragua
26,Private,704090645,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-797635704,-278382494,38,Nicaragua
28,Private,579302859,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-453090211,-823226946,39,Nicaragua
28,Private,19718069,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-241476979,-507236852,41,Nicaragua
27,Private,432205452,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-691331379,-372690197,36,Nicaragua
27,Private,94873890,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-350150408,-371253748,36,Nicaragua
28,Private,415923038,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-213109921,-958385763,37,Nicaragua
26,Private,188385856,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-670137270,-339399943,37,Nicaragua
27,Private,103580441,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-824814015,-412354526,41,Nicaragua
25,Private,925134941,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-10311754,-418937969,39,Nicaragua
26,Private,612528632,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-409081789,-705246514,36,Nicaragua
25,Private,418270084,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-517694344,-532891731,41,Nicaragua
25,Private,82911566,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-724151485,-513340923,40,Nicaragua
26,Private,937838762,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-838980315,-428271071,39,Nicaragua
26,Private,807635527,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-733023109,-46225674,38,Nicaragua
27,Private,520767281,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-561086520,-715440605,36,Nicaragua
26,Private,10112175,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-103835104,-457172076,36,Nicaragua
26,Private,315827622,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-891423760,-334010095,40,Nicaragua
25,Private,281376058,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-756125627,-340576354,41,Nicaragua
27,Private,938773365,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-231348971,-679320066,36,Nicaragua
27,Private,916028470,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-24840193,-763544198,36,Nicaragua
25,Private,554940583,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-453194199,-629077147,38,Nicaragua
28,Private,460140814,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-191744808,-36786653,38,Nicaragua
25,Private,952908719,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-365165990,-709081716,40,Nicaragua
27,Private,905550889,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-744033732,-8615678,42,Nicaragua
25,Private,164773176,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-466840714,-955089312,38,Nicaragua
26,Private,969379372,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-7619869,-848459825,42,Nicaragua
25,Private,748657781,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-154353402,-776581713,42,Nicaragua
25,Private,469650298,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-684069495,-977885789,41,Nicaragua
26,Private,661728235,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-589778189,-626341698,42,Nicaragua
25,Private,736669493,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-253206952,-737539082,36,Nicaragua
28,Private,947741810,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-759028317,-968088901,36,Nicaragua
25,Private,831146102,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-108084441,-846715449,41,Nicaragua
25,Private,367334253,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-400614450,-280072106,42,Nicaragua
25,Private,196593725,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-689674899,-1970610,41,Nicaragua
26,Private,971832003,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-500690717,-499258046,39,Nicaragua
25,Private,934385474,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-986063649,-825721201,37,Nicaragua
26,Private,131994066,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-982038505,-322340287,42,Nicaragua
25,Private,296674450,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-493667738,-72496213,40,Nicaragua
28,Private,581199524,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-582962295,-800224042,42,Nicaragua
28,Private,25294297,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-284589578,-915611767,41,Nicaragua
28,Private,131229751,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-566162139,-876246007,39,Nicaragua
28,Private,81051486,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-602419977,-26877989,38,Nicaragua
25,Private,488685276,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-491625078,-337134770,38,Nicaragua
28,Private,521117549,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-713552455,-39714078,42,Nicaragua
26,Private,25052512,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-403061144,-444801106,37,Nicaragua
27,Private,840825085,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-276674036,-859660188,41,Nicaragua
26,Private,6707685,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-33763641,-834029367,40,Nicaragua
25,Private,738377337,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-195635383,-567919442,39,Nicaragua
27,Private,784806054,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-153016554,-982163189,40,Nicaragua
25,Private,288072705,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-170567568,-749486443,41,Nicaragua
26,Private,232792634,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-665754266,-469229595,41,Nicaragua
27,Private,867765134,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-246643001,-396891918,38,Nicaragua
26,Private,119068695,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-625814235,-73526335,38,Nicaragua
25,Private,651999923,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-37380695,-132508037,37,Nicaragua
26,Private,247988447,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-731306780,-763337274,42,Nicaragua
27,Private,840887874,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-183427479,-40855069,36,Nicaragua
28,Private,475524849,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-405563601,-642138365,37,Nicaragua
25,Private,824698897,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-681274631,-689664850,42,Nicaragua
25,Private,915283691,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-79025289,-401439441,37,Nicaragua
25,Private,284861666,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-422581695,-846386370,39,Nicaragua
25,Private,540375120,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-978851887,-805177864,37,Nicaragua
28,Private,53569307,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-570738363,-408855277,39,Nicaragua
27,Private,803140289,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-606367732,-171780861,38,Nicaragua
28,Private,504624312,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-263983272,-124993715,41,Nicaragua
28,Private,536605320,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-506914194,-818501312,42,Nicaragua
25,Private,228222626,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-750611277,-357432754,39,Nicaragua
28,Private,416377972,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-717720538,-950745805,36,Nicaragua
26,Private,925832079,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-476244641,-106451010,36,Nicaragua
25,Private,833491520,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-893257481,-948038054,38,Nicaragua
28,Private,689444861,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-900886403,-162867673,41,Nicaragua
28,Private,902672413,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-760120875,-20427816,38,Nicaragua
28,Private,579447815,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-220518872,-372179617,40,Nicaragua
27,Private,779040101,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-260953637,-865447586,41,Nicaragua
27,Private,323217414,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-485774763,-33015043,42,Nicaragua
28,Private,462905700,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-215858548,-313833466,40,Nicaragua
25,Private,266608515,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-938866574,-860231375,39,Nicaragua
26,Private,165285990,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-583108713,-395821554,37,Nicaragua
26,Private,367637006,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-494943788,-633606988,41,Nicaragua
26,Private,434008812,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-620534174,-817083925,40,Nicaragua
25,Private,297015652,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-51137706,-329155809,42,Nicaragua
28,Private,481013178,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-229706278,-671638292,39,Nicaragua
27,Private,960500838,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-151435606,-510746281,40,Nicaragua
25,Private,804430547,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-446959497,-467276907,41,Nicaragua
27,Private,72650677,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-711843060,-823280763,41,Nicaragua
25,Private,202562470,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-402552214,-305200805,39,Nicaragua
28,Private,918956132,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-867896555,-47487445,40,Nicaragua
27,Private,95274866,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-378125259,-274283258,40,Nicaragua
25,Private,523321826,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-64055870,-276582378,36,Nicaragua
28,Private,958888385,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-830603694,-199114595,38,Nicaragua
27,Private,445296131,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-217372294,-3338613,41,Nicaragua
28,Private,90285539,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-746615480,-278142323,40,Nicaragua
25,Private,95228325,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-479450214,-383833355,37,Nicaragua
25,Private,129512561,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-435046789,-992146348,40,Nicaragua
26,Private,466090857,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-320720611,-477367423,41,Nicaragua
28,Private,920133562,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-200751605,-482293014,39,Nicaragua
25,Private,599672699,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-860863918,-68762335,41,Nicaragua
25,Private,785998250,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-882895896,-278773704,36,Nicaragua
26,Private,657931008,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-271185806,-581391057,42,Nicaragua
28,Private,730587924,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-666360707,-261767546,42,Nicaragua
28,Private,762579152,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-365499642,-204775831,38,Nicaragua
27,Private,314575681,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-686981486,-842388110,42,Nicaragua
25,Private,936140107,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-444984279,-562095291,41,Nicaragua
26,Private,128094239,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-270310933,-824000231,39,Nicaragua
28,Private,936152628,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-639215351,-219697309,40,Nicaragua
26,Private,140098360,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-623638795,-348080918,42,Nicaragua
25,Private,717816103,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-153659239,-48803881,38,Nicaragua
25,Private,271111489,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-149462406,-122063733,40,Nicaragua
25,Private,588339501,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-967621227,-313902582,39,Nicaragua
25,Private,95856544,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-277411239,-568697745,38,Nicaragua
28,Private,458655258,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-684608828,-557685195,36,Nicaragua
26,Private,515650349,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-81553878,-261772796,41,Nicaragua
27,Private,110764462,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-609071729,-2963812,36,Nicaragua
28,Private,684558116,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-716090256,-222010130,41,Nicaragua
25,Private,106596409,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-334247323,-893737,36,Nicaragua
27,Private,136695480,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-376682260,-909559135,40,Nicaragua
28,Private,863470694,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-971000364,-754083072,37,Nicaragua
26,Private,143191507,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-145649425,-223230868,41,Nicaragua
25,Private,14767642,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-89357582,-711091149,40,Nicaragua
28,Private,36353494,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-994526604,-994570158,37,Nicaragua
25,Private,820016485,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-394072034,-19951748,41,Nicaragua
28,Private,287940569,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-150587248,-755116834,36,Nicaragua
27,Private,801003251,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-31799326,-72203146,36,Nicaragua
28,Private,846158366,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-301876003,-162018496,39,Nicaragua
25,Private,456302003,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-798216961,-302624948,39,Nicaragua
27,Private,745238566,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-451729704,-369987189,36,Nicaragua
28,Private,448889878,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-844786294,-186670272,41,Nicaragua
25,Private,15944267,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-729240003,-900019475,40,Nicaragua
27,Private,749473670,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-388453580,-945499602,36,Nicaragua
27,Private,4576253,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-957649254,-780863924,42,Nicaragua
26,Private,709635772,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-588435849,-826871888,38,Nicaragua
25,Private,770298615,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-816465927,-623622594,42,Nicaragua
27,Private,458667816,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-456984732,-215917849,37,Nicaragua
27,Private,872716715,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-427584216,-553459267,37,Nicaragua
25,Private,946035138,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-458737557,-698656906,38,Nicaragua
27,Private,537638688,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-300220835,-742506968,40,Nicaragua
26,Private,940606169,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-842076484,-851560783,39,Nicaragua
27,Private,690936390,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-595963750,-525830543,36,Nicaragua
25,Private,973411113,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-865904774,-52147359,37,Nicaragua
25,Private,304842232,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-385299134,-572096130,41,Nicaragua
27,Private,400902567,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-365367962,-28535888,38,Nicaragua
25,Private,408900136,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-159881194,-782371140,42,Nicaragua
27,Private,601652200,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-682957630,-79541491,36,Nicaragua
26,Private,418515167,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-522722379,-525866598,37,Nicaragua
25,Private,95421206,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-427539432,-649130756,39,Nicaragua
27,Private,702061167,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-452961937,-352050524,40,Nicaragua
27,Private,616719805,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-683784393,-753715181,41,Nicaragua
26,Private,549233627,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-803026014,-568581143,39,Nicaragua
27,Private,360783887,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-38224275,-487259969,41,Nicaragua
27,Private,558404624,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-113593034,-871731888,42,Nicaragua
28,Private,503731177,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-266604671,-479724087,37,Nicaragua
28,Private,246071121,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-685547861,-480707605,41,Nicaragua
26,Private,494241777,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-958334489,-884143098,36,Nicaragua
25,Private,868546552,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-158002914,-178112430,36,Nicaragua
25,Private,280753833,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-434702294,-665869447,39,Nicaragua
25,Private,730831309,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-686105186,-933459078,41,Nicaragua
28,Private,436784550,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-172822769,-293834102,41,Nicaragua
26,Private,372385829,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-290820792,-846386866,37,Nicaragua
27,Private,668520245,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-880326894,-491689022,38,Nicaragua
27,Private,958437410,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-923389148,-4534000,39,Nicaragua
28,Private,424584541,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-689037059,-229399085,40,Nicaragua
25,Private,705464678,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-246919149,-612157710,42,Nicaragua
27,Private,333760271,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-989272306,-325038572,37,Nicaragua
28,Private,525182308,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-533271263,-836248445,40,Nicaragua
25,Private,417868969,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-163691861,-79632739,42,Nicaragua
28,Private,556057320,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-799518537,-160928982,41,Nicaragua
28,Private,651016988,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-858403460,-497097026,39,Nicaragua
28,Private,392692951,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-671405780,-919950594,41,Nicaragua
28,Private,41417482,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-566218977,-520281129,39,Nicaragua
28,Private,150841091,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-693654094,-819073071,37,Nicaragua
28,Private,940733862,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-955350706,-367907171,37,Nicaragua
25,Private,292199461,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-805612084,-509801706,42,Nicaragua
27,Private,723297894,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-506707754,-986092708,36,Nicaragua
26,Private,243817164,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-159416666,-156410321,41,Nicaragua
27,Private,556261008,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-593191237,-205556038,41,Nicaragua
27,Private,58294921,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-275047230,-633391053,41,Nicaragua
27,Private,881209299,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-68601492,-155519831,38,Nicaragua
26,Private,531440800,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-231368873,-310841761,41,Nicaragua
26,Private,504889505,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-569133251,-90446361,38,Nicaragua
27,Private,120340300,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-149721788,-615781457,38,Nicaragua
27,Private,848006405,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-468586514,-483004538,36,Nicaragua
25,Private,398671558,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-1789375,-82660920,40,Nicaragua
27,Private,391624118,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-822492601,-991453257,38,Nicaragua
26,Private,191763025,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-740831785,-975176831,40,Nicaragua
28,Private,690861166,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-551790609,-579731176,38,Nicaragua
25,Private,598556670,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-433473407,-992685533,38,Nicaragua
26,Private,703092248,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-474171428,-366229255,40,Nicaragua
28,Private,802801694,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-379639436,-522493394,42,Nicaragua
28,Private,650952454,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-96667971,-484920309,41,Nicaragua
26,Private,963218506,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-217991230,-539261631,42,Nicaragua
25,Private,114279427,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-492881178,-267585373,41,Nicaragua
26,Private,649742552,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-446893652,-38475575,40,Nicaragua
26,Private,969821092,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-892746467,-15420408,37,Nicaragua
26,Private,821505407,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-266243126,-29644270,41,Nicaragua
27,Private,4909565,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-702221394,-959052977,39,Nicaragua
28,Private,963262026,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-510298005,-124993522,42,Nicaragua
28,Private,465079360,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-674738114,-22081520,37,Nicaragua
